店家,x,y,地址,Ubereat,url,food,,fu,for bar and pie,,,
卡璐佶-雲科大店,23.6958498,120.5340119,雲林縣斗六市大學路三段123號,無,,,,n,,,,
氧豬場 O2D,23.6927298,120.532406,雲林縣斗六市龍潭路1-50號,無,https://www.foodpanda.com.tw/restaurant/a5al/o2d-yang-zhu-chang?utm_source=google&utm_medium=organic&utm_campaign=google_reserve_place_order_action,foodpanda,,f,,,,
ㄚ瑤食堂,23.6921484,120.5308106,雲林縣斗六市龍潭路3-15號,無,,,,n,,,,
韓風食堂,23.6922713,120.5304818,雲林縣斗六市龍潭路5-6號,有,https://www.ubereats.com/tw/store/%E9%9F%93%E9%A2%A8%E9%A3%9F%E5%A0%82/6aKGOZ0SW1e5Nydrx60tjQ?utm_source=google&utm_medium=organic&utm_campaign=place-action-link,ubereats,,u,,,,
大江戶日本料理,23.6916869,120.528702,雲林縣斗六市龍潭路14-14號,無,,,,n,,,,
雲大燒臘,23.6921484,120.5308106,雲林縣斗六市龍潭路15號,無,,,,n,,,,
Mr’DL串燒,23.6915475,120.5284777,雲林縣斗六市龍潭路16-1號,無,,,,n,,,,
偉恩市場,23.6915649,120.5279935,雲林縣斗六市龍潭北路3號1樓,無,https://www.foodpanda.com.tw/restaurant/a3xc/wei-en-shi-chang?utm_source=google&utm_medium=organic&utm_campaign=google_reserve_place_order_action,foodpanda,,f,,,,
濰克早午餐-斗六店,23.6919111,120.5276622,雲林縣斗六市龍潭北路16號之 13 號,無,,,,n,,,,
圓緣素食,23.6917833,120.5274146,雲林縣斗六市龍潭北路15號,無,,,,n,,,,
鈴亭,23.6917896,120.528184,雲林縣斗六市龍潭北路16之11號,無,https://www.foodpanda.com.tw/restaurant/wz5c/ling-ting?utm_source=google&utm_medium=organic&utm_campaign=google_reserve_place_order_action,foodpanda,,f,,,,
找夢,23.6919446,120.5277013,雲林縣斗六市龍潭北路16-5號1樓,無,,,,n,,,,
暮香炭烤土司斗六龍潭店,23.6918154,120.5277747,雲林縣斗六市龍潭北路16-10號,無,,,,n,,,,
晨間廚房-斗六龍潭店,23.6919111,120.5276622,雲林縣斗六市龍潭北路16號,無,https://www.foodpanda.com.tw/restaurant/b8or/chen-jian-chu-fang-dou-liu-long-tan-dian?utm_source=google&utm_medium=organic&utm_campaign=google_reserve_place_order_action,foodpanda,,f,,,,
炸雞大獅雲林斗六雲科店,23.6918425,120.5287979,雲林縣斗六市龍潭路14-13號號,無,https://www.foodpanda.com.tw/restaurant/k8el/zha-ji-da-shi-yun-lin-yun-ke-dian?utm_source=google&utm_medium=organic&utm_campaign=google_reserve_place_order_action,foodpanda,,f,,,,
紫軒食坊,23.6920021,120.5297452,雲林縣斗六市龍潭路7號號,無,,,,n,,,,
胖老爹,23.7081342,120.5374959,,,https://www.ubereats.com/tw/store/%E8%83%96%E8%80%81%E7%88%B9%E7%BE%8E%E5%BC%8F%E7%82%B8%E9%9B%9E-%E9%9B%B2%E6%9E%97%E6%96%97%E5%85%AD%E5%BA%97/V5AcuOtaRgO7ZM2_7CT0yg?diningMode=DELIVERY&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMiVFNSU5QyU4QiVFNyVBQiU4QiVFOSU5QiVCMiVFNiU5RSU5NyVFNyVBNyU5MSVFNiU4QSU4MCVFNSVBNCVBNyVFNSVBRCVCOCUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpXMkY1d0FUSWJqUVJ2bFE1bUZuWUdkOCUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMy42OTU5ODM1JTJDJTIybG9uZ2l0dWRlJTIyJTNBMTIwLjUzNDA2NDglN0Q%3D,ubereats,,u,,,,
宮本武丼X雲林斗六店,23.7018662,120.5371804,,,https://www.ubereats.com/tw/store/%E5%AE%AE%E6%9C%AC%E6%AD%A6%E4%B8%BCx%E9%9B%B2%E6%9E%97%E6%96%97%E5%85%AD%E5%BA%97/PjlBLhIfVk6_IKXSMebfKA?diningMode=DELIVERY&mod=storeInfo&modctx=%257B%2522storeSlug%2522%253A%2522%2525E5%2525AE%2525AE%2525E6%25259C%2525AC%2525E6%2525AD%2525A6%2525E4%2525B8%2525BCx%2525E9%25259B%2525B2%2525E6%25259E%252597%2525E6%252596%252597%2525E5%252585%2525AD%2525E5%2525BA%252597%2522%252C%2522storeUuid%2522%253A%25223e39412e-121f-564e-bf20-a5d231e6df28%2522%252C%2522sectionUuid%2522%253A%2522%2522%257D&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMiVFNSU5QyU4QiVFNyVBQiU4QiVFOSU5QiVCMiVFNiU5RSU5NyVFNyVBNyU5MSVFNiU4QSU4MCVFNSVBNCVBNyVFNSVBRCVCOCUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpXMkY1d0FUSWJqUVJ2bFE1bUZuWUdkOCUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMy42OTU5ODM1JTJDJTIybG9uZ2l0dWRlJTIyJTNBMTIwLjUzNDA2NDglN0Q%3D&ps=1,ubereats,,u,,,,
野瘦派 低卡便當,23.7046174,120.5395765,,,https://www.ubereats.com/tw/store/%E9%87%8E%E7%98%A6%E6%B4%BE-%E4%BD%8E%E5%8D%A1%E4%BE%BF%E7%95%B6/TO1ekyvYQb6N_sCDrP3WUA?diningMode=DELIVERY&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMiVFNSU5QyU4QiVFNyVBQiU4QiVFOSU5QiVCMiVFNiU5RSU5NyVFNyVBNyU5MSVFNiU4QSU4MCVFNSVBNCVBNyVFNSVBRCVCOCUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpXMkY1d0FUSWJqUVJ2bFE1bUZuWUdkOCUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMy42OTU5ODM1JTJDJTIybG9uZ2l0dWRlJTIyJTNBMTIwLjUzNDA2NDglN0Q%3D,ubereats,,u,,,,
老地方日式丼飯,23.6920879,120.5294589,,,https://www.ubereats.com/tw/store/%E8%80%81%E5%9C%B0%E6%96%B9%E6%97%A5%E5%BC%8F%E4%B8%BC%E9%A3%AF/tth0urCzQxGP-IQJcSE7PQ?diningMode=DELIVERY&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMiVFNSU5QyU4QiVFNyVBQiU4QiVFOSU5QiVCMiVFNiU5RSU5NyVFNyVBNyU5MSVFNiU4QSU4MCVFNSVBNCVBNyVFNSVBRCVCOCUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpXMkY1d0FUSWJqUVJ2bFE1bUZuWUdkOCUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMy42OTU5ODM1JTJDJTIybG9uZ2l0dWRlJTIyJTNBMTIwLjUzNDA2NDglN0Q%3D,ubereats,,u,,,,
東市媽祖廟什錦麵,23.6465601,120.5615466,,,https://www.ubereats.com/tw/store/%E6%9D%B1%E5%B8%82%E5%AA%BD%E7%A5%96%E5%BB%9F%E4%BB%80%E9%8C%A6%E9%BA%B5/sxlITrmxSrOUVbP4-5CtEA?diningMode=DELIVERY&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMiVFNSU5QyU4QiVFNyVBQiU4QiVFOSU5QiVCMiVFNiU5RSU5NyVFNyVBNyU5MSVFNiU4QSU4MCVFNSVBNCVBNyVFNSVBRCVCOCUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpXMkY1d0FUSWJqUVJ2bFE1bUZuWUdkOCUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMy42OTU5ODM1JTJDJTIybG9uZ2l0dWRlJTIyJTNBMTIwLjUzNDA2NDglN0Q%3D,ubereats,,u,,,,
海味鮮 (雲林斗六店),23.7006794,120.5347778,,,https://www.foodpanda.com.tw/restaurant/e6pk/hai-wei-xian-yun-lin-dou-liu-dian,foodpanda,,f,,,,
將軍食府,23.6986362,120.5382688,,,https://www.foodpanda.com.tw/restaurant/b6ls/jiang-jun-shi-fu,foodpanda,,f,,,,
豚將日本拉麵 (雲林斗六店),23.7053252,120.5349014,,,https://www.foodpanda.com.tw/restaurant/jc2q/tun-jiang-ri-ben-la-mian-yun-lin-dou-liu-dian,foodpanda,,f,,,,
